DATAFLOW,LAST UPDATE,freq,product,currency,unit,indic_en,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:TEN00117(1.0),25/04/24 11:00:00,A,6000,EUR,KWH,MSHH,FR,2021,0.1946,
ESTAT:TEN00117(1.0),25/04/24 11:00:00,A,6000,EUR,KWH,MSHH,FR,2022,0.2092,
ESTAT:TEN00117(1.0),25/04/24 11:00:00,A,6000,EUR,KWH,MSHH,IT,2011,0.1987,
ESTAT:TEN00117(1.0),25/04/24 11:00:00,A,6000,EUR,KWH,MSHH,IT,2012,0.2132,
ESTAT:TEN00117(1.0),25/04/24 11:00:00,A,6000,EUR,KWH,MSHH,IT,2013,0.2292,
ESTAT:TEN00117(1.0),25/04/24 11:00:00,A,6000,EUR,KWH,MSHH,IT,2014,0.2446,
ESTAT:TEN00117(1.0),25/04/24 11:00:00,A,6000,EUR,KWH,MSHH,IT,2015,0.245,
ESTAT:TEN00117(1.0),25/04/24 11:00:00,A,6000,EUR,KWH,MSHH,IT,2016,0.2342,
ESTAT:TEN00117(1.0),25/04/24 11:00:00,A,6000,EUR,KWH,MSHH,IT,2017,0.2132,
ESTAT:TEN00117(1.0),25/04/24 11:00:00,A,6000,EUR,KWH,MSHH,IT,2018,0.2067,
ESTAT:TEN00117(1.0),25/04/24 11:00:00,A,6000,EUR,KWH,MSHH,IT,2019,0.2301,
ESTAT:TEN00117(1.0),25/04/24 11:00:00,A,6000,EUR,KWH,MSHH,IT,2020,0.2226,
ESTAT:TEN00117(1.0),25/04/24 11:00:00,A,6000,EUR,KWH,MSHH,IT,2021,0.2259,
ESTAT:TEN00117(1.0),25/04/24 11:00:00,A,6000,EUR,KWH,MSHH,IT,2022,0.3115,
ESTAT:TEN00117(1.0),25/04/24 11:00:00,A,6000,EUR,KWH,MSHH,PT,2011,0.1654,
ESTAT:TEN00117(1.0),25/04/24 11:00:00,A,6000,EUR,KWH,MSHH,PT,2012,0.1993,
ESTAT:TEN00117(1.0),25/04/24 11:00:00,A,6000,EUR,KWH,MSHH,PT,2013,0.2081,
ESTAT:TEN00117(1.0),25/04/24 11:00:00,A,6000,EUR,KWH,MSHH,PT,2014,0.2175,
ESTAT:TEN00117(1.0),25/04/24 11:00:00,A,6000,EUR,KWH,MSHH,PT,2015,0.2279,
ESTAT:TEN00117(1.0),25/04/24 11:00:00,A,6000,EUR,KWH,MSHH,PT,2016,0.235,
ESTAT:TEN00117(1.0),25/04/24 11:00:00,A,6000,EUR,KWH,MSHH,PT,2017,0.2284,
ESTAT:TEN00117(1.0),25/04/24 11:00:00,A,6000,EUR,KWH,MSHH,PT,2018,0.2246,
ESTAT:TEN00117(1.0),25/04/24 11:00:00,A,6000,EUR,KWH,MSHH,PT,2019,0.2150,
ESTAT:TEN00117(1.0),25/04/24 11:00:00,A,6000,EUR,KWH,MSHH,PT,2020,0.2120,
ESTAT:TEN00117(1.0),25/04/24 11:00:00,A,6000,EUR,KWH,MSHH,PT,2021,0.2089,
ESTAT:TEN00117(1.0),25/04/24 11:00:00,A,6000,EUR,KWH,MSHH,PT,2022,0.2199,
ESTAT:TEN00117(1.0),25/04/24 11:00:00,A,6000,EUR,KWH,MSIND,DE,2011,0.09,
ESTAT:TEN00117(1.0),25/04/24 11:00:00,A,6000,EUR,KWH,MSIND,DE,2012,0.0895,
ESTAT:TEN00117(1.0),25/04/24 11:00:00,A,6000,EUR,KWH,MSIND,DE,2013,0.086,
ESTAT:TEN00117(1.0),25/04/24 11:00:00,A,6000,EUR,KWH,MSIND,DE,2014,0.0844,
ESTAT:TEN00117(1.0),25/04/24 11:00:00,A,6000,EUR,KWH,MSIND,DE,2015,0.0809,
ESTAT:TEN00117(1.0),25/04/24 11:00:00,A,6000,EUR,KWH,MSIND,DE,2016,0.0788,
ESTAT:TEN00117(1.0),25/04/24 11:00:00,A,6000,EUR,KWH,MSIND,DE,2017,0.0761,
ESTAT:TEN00117(1.0),25/04/24 11:00:00,A,6000,EUR,KWH,MSIND,DE,2018,0.0771,
ESTAT:TEN00117(1.0),25/04/24 11:00:00,A,6000,EUR,KWH,MSIND,DE,2019,0.0855,
ESTAT:TEN00117(1.0),25/04/24 11:00:00,A,6000,EUR,KWH,MSIND,DE,2020,0.0849,
ESTAT:TEN00117(1.0),25/04/24 11:00:00,A,6000,EUR,KWH,MSIND,DE,2021,0.0908,
ESTAT:TEN00117(1.0),25/04/24 11:00:00,A,6000,EUR,KWH,MSIND,DE,2022,0.1512,
ESTAT:TEN00117(1.0),25/04/24 11:00:00,A,6000,EUR,KWH,MSIND,ES,2011,0.1082,
ESTAT:TEN00117(1.0),25/04/24 11:00:00,A,6000,EUR,KWH,MSIND,ES,2012,0.1155,
ESTAT:TEN00117(1.0),25/04/24 11:00:00,A,6000,EUR,KWH,MSIND,ES,2013,0.1165,
ESTAT:TEN00117(1.0),25/04/24 11:00:00,A,6000,EUR,KWH,MSIND,ES,2014,0.1185,
ESTAT:TEN00117(1.0),25/04/24 11:00:00,A,6000,EUR,KWH,MSIND,ES,2015,0.1116,
ESTAT:TEN00117(1.0),25/04/24 11:00:00,A,6000,EUR,KWH,MSIND,ES,2016,0.1051,
ESTAT:TEN00117(1.0),25/04/24 11:00:00,A,6000,EUR,KWH,MSIND,ES,2017,0.101,
ESTAT:TEN00117(1.0),25/04/24 11:00:00,A,6000,EUR,KWH,MSIND,ES,2018,0.1008,
ESTAT:TEN00117(1.0),25/04/24 11:00:00,A,6000,EUR,KWH,MSIND,ES,2019,0.0925,d
ESTAT:TEN00117(1.0),25/04/24 11:00:00,A,6000,EUR,KWH,MSIND,ES,2020,0.0786,
ESTAT:TEN00117(1.0),25/04/24 11:00:00,A,6000,EUR,KWH,MSIND,ES,2021,0.0931,
ESTAT:TEN00117(1.0),25/04/24 11:00:00,A,6000,EUR,KWH,MSIND,ES,2022,0.1769,
ESTAT:TEN00117(1.0),25/04/24 11:00:00,A,6000,EUR,KWH,MSIND,EU27_2020,2011,0.0925,
ESTAT:TEN00117(1.0),25/04/24 11:00:00,A,6000,EUR,KWH,MSIND,EU27_2020,2012,0.0943,
