time_period;country;data_type;energy_category;energy_product_class;costumer;energy_GWh;electricity_price_eur/kWh;gas_price_eur/GJ
2011;Germany;Electricity price;;;Medium size households;;0.2528;
2012;Germany;Electricity price;;;Medium size households;;0.2595;
2013;Germany;Electricity price;;;Medium size households;;0.2919;
2014;Germany;Electricity price;;;Medium size households;;0.2981;
2015;Germany;Electricity price;;;Medium size households;;0.2951;
2016;Germany;Electricity price;;;Medium size households;;0.2969;
2017;Germany;Electricity price;;;Medium size households;;0.3048;
2018;Germany;Electricity price;;;Medium size households;;0.2987;
2019;Germany;Electricity price;;;Medium size households;;0.3088;
2020;Germany;Electricity price;;;Medium size households;;0.3043;
2021;Germany;Electricity price;;;Medium size households;;0.3193;
2022;Germany;Electricity price;;;Medium size households;;0.3279;
2011;Spain;Electricity price;;;Medium size households;;0.1981;
2012;Spain;Electricity price;;;Medium size households;;0.219;
2013;Spain;Electricity price;;;Medium size households;;0.2228;
2014;Spain;Electricity price;;;Medium size households;;0.2165;
2015;Spain;Electricity price;;;Medium size households;;0.2309;
2016;Spain;Electricity price;;;Medium size households;;0.2185;
2017;Spain;Electricity price;;;Medium size households;;0.2296;
2018;Spain;Electricity price;;;Medium size households;;0.2383;
2019;Spain;Electricity price;;;Medium size households;;0.2403;
2020;Spain;Electricity price;;;Medium size households;;0.2239;
2021;Spain;Electricity price;;;Medium size households;;0.2323;
2022;Spain;Electricity price;;;Medium size households;;0.3071;
2011;France;Electricity price;;;Medium size households;;0.1383;
2012;France;Electricity price;;;Medium size households;;0.1392;
2013;France;Electricity price;;;Medium size households;;0.1524;
2014;France;Electricity price;;;Medium size households;;0.1585;
2015;France;Electricity price;;;Medium size households;;0.1676;
2016;France;Electricity price;;;Medium size households;;0.1685;
2017;France;Electricity price;;;Medium size households;;0.1704;
2018;France;Electricity price;;;Medium size households;;0.1748;
2019;France;Electricity price;;;Medium size households;;0.1778;
2020;France;Electricity price;;;Medium size households;;0.1893;
2021;France;Electricity price;;;Medium size households;;0.1946;
2022;France;Electricity price;;;Medium size households;;0.2092;
2011;Italy;Electricity price;;;Medium size households;;0.1987;
2012;Italy;Electricity price;;;Medium size households;;0.2132;
2013;Italy;Electricity price;;;Medium size households;;0.2292;
2014;Italy;Electricity price;;;Medium size households;;0.2446;
2015;Italy;Electricity price;;;Medium size households;;0.245;
2016;Italy;Electricity price;;;Medium size households;;0.2342;
2017;Italy;Electricity price;;;Medium size households;;0.2132;
2018;Italy;Electricity price;;;Medium size households;;0.2067;
2019;Italy;Electricity price;;;Medium size households;;0.2301;
2020;Italy;Electricity price;;;Medium size households;;0.2226;
2021;Italy;Electricity price;;;Medium size households;;0.2259;
2022;Italy;Electricity price;;;Medium size households;;0.3115;
2011;Portugal;Electricity price;;;Medium size households;;0.1654;
2012;Portugal;Electricity price;;;Medium size households;;0.1993;
2013;Portugal;Electricity price;;;Medium size households;;0.2081;
2014;Portugal;Electricity price;;;Medium size households;;0.2175;
2015;Portugal;Electricity price;;;Medium size households;;0.2279;
2016;Portugal;Electricity price;;;Medium size households;;0.235;
2017;Portugal;Electricity price;;;Medium size households;;0.2284;
2018;Portugal;Electricity price;;;Medium size households;;0.2246;
2019;Portugal;Electricity price;;;Medium size households;;0.215;
2020;Portugal;Electricity price;;;Medium size households;;0.212;
2021;Portugal;Electricity price;;;Medium size households;;0.2089;
2022;Portugal;Electricity price;;;Medium size households;;0.2199;
2011;Germany;Electricity price;;;Non-household, medium size consumers;;0.09;
2012;Germany;Electricity price;;;Non-household, medium size consumers;;0.0895;
2013;Germany;Electricity price;;;Non-household, medium size consumers;;0.086;
2014;Germany;Electricity price;;;Non-household, medium size consumers;;0.0844;
2015;Germany;Electricity price;;;Non-household, medium size consumers;;0.0809;
2016;Germany;Electricity price;;;Non-household, medium size consumers;;0.0788;
2017;Germany;Electricity price;;;Non-household, medium size consumers;;0.0761;
2018;Germany;Electricity price;;;Non-household, medium size consumers;;0.0771;
2019;Germany;Electricity price;;;Non-household, medium size consumers;;0.0855;
2020;Germany;Electricity price;;;Non-household, medium size consumers;;0.0849;
2021;Germany;Electricity price;;;Non-household, medium size consumers;;0.0908;
2022;Germany;Electricity price;;;Non-household, medium size consumers;;0.1512;
2011;Spain;Electricity price;;;Non-household, medium size consumers;;0.1082;
2012;Spain;Electricity price;;;Non-household, medium size consumers;;0.1155;
2013;Spain;Electricity price;;;Non-household, medium size consumers;;0.1165;
2014;Spain;Electricity price;;;Non-household, medium size consumers;;0.1185;
2015;Spain;Electricity price;;;Non-household, medium size consumers;;0.1116;
2016;Spain;Electricity price;;;Non-household, medium size consumers;;0.1051;
2017;Spain;Electricity price;;;Non-household, medium size consumers;;0.101;
2018;Spain;Electricity price;;;Non-household, medium size consumers;;0.1008;
2019;Spain;Electricity price;;;Non-household, medium size consumers;;0.0925;
2020;Spain;Electricity price;;;Non-household, medium size consumers;;0.0786;
2021;Spain;Electricity price;;;Non-household, medium size consumers;;0.0931;
2022;Spain;Electricity price;;;Non-household, medium size consumers;;0.1769;
2011;France;Electricity price;;;Non-household, medium size consumers;;0.0722;
2012;France;Electricity price;;;Non-household, medium size consumers;;0.0809;
2013;France;Electricity price;;;Non-household, medium size consumers;;0.0781;
2014;France;Electricity price;;;Non-household, medium size consumers;;0.0765;
2015;France;Electricity price;;;Non-household, medium size consumers;;0.0776;
2016;France;Electricity price;;;Non-household, medium size consumers;;0.0714;
2017;France;Electricity price;;;Non-household, medium size consumers;;0.0733;
2018;France;Electricity price;;;Non-household, medium size consumers;;0.0736;
2019;France;Electricity price;;;Non-household, medium size consumers;;0.0812;
2020;France;Electricity price;;;Non-household, medium size consumers;;0.0847;
2021;France;Electricity price;;;Non-household, medium size consumers;;0.085;
2022;France;Electricity price;;;Non-household, medium size consumers;;0.1203;
2011;Italy;Electricity price;;;Non-household, medium size consumers;;0.1145;
2012;Italy;Electricity price;;;Non-household, medium size consumers;;0.1193;
2013;Italy;Electricity price;;;Non-household, medium size consumers;;0.1122;
2014;Italy;Electricity price;;;Non-household, medium size consumers;;0.108;
2015;Italy;Electricity price;;;Non-household, medium size consumers;;0.0943;
2016;Italy;Electricity price;;;Non-household, medium size consumers;;0.0841;
2017;Italy;Electricity price;;;Non-household, medium size consumers;;0.0829;
2018;Italy;Electricity price;;;Non-household, medium size consumers;;0.0892;
2019;Italy;Electricity price;;;Non-household, medium size consumers;;0.0952;
2020;Italy;Electricity price;;;Non-household, medium size consumers;;0.0856;
2021;Italy;Electricity price;;;Non-household, medium size consumers;;0.0939;
2022;Italy;Electricity price;;;Non-household, medium size consumers;;0.2354;
2011;Portugal;Electricity price;;;Non-household, medium size consumers;;0.0903;
2012;Portugal;Electricity price;;;Non-household, medium size consumers;;0.105;
2013;Portugal;Electricity price;;;Non-household, medium size consumers;;0.1015;
2014;Portugal;Electricity price;;;Non-household, medium size consumers;;0.1029;
2015;Portugal;Electricity price;;;Non-household, medium size consumers;;0.0989;
2016;Portugal;Electricity price;;;Non-household, medium size consumers;;0.0943;
2017;Portugal;Electricity price;;;Non-household, medium size consumers;;0.0835;
2018;Portugal;Electricity price;;;Non-household, medium size consumers;;0.0781;
2019;Portugal;Electricity price;;;Non-household, medium size consumers;;0.0869;
2020;Portugal;Electricity price;;;Non-household, medium size consumers;;0.0794;
2021;Portugal;Electricity price;;;Non-household, medium size consumers;;0.0755;
2022;Portugal;Electricity price;;;Non-household, medium size consumers;;0.1351;
2011;Germany;Gas price;;;Medium size households;;;16.34
2012;Germany;Gas price;;;Medium size households;;;17.7
2013;Germany;Gas price;;;Medium size households;;;18.35
2014;Germany;Gas price;;;Medium size households;;;18.84
2015;Germany;Gas price;;;Medium size households;;;18.78
2016;Germany;Gas price;;;Medium size households;;;18.36
2017;Germany;Gas price;;;Medium size households;;;16.98
2018;Germany;Gas price;;;Medium size households;;;169.01
2019;Germany;Gas price;;;Medium size households;;;175.503
2020;Germany;Gas price;;;Medium size households;;;165.765
2021;Germany;Gas price;;;Medium size households;;;179.618
2022;Germany;Gas price;;;Medium size households;;;223.901
2011;Spain;Gas price;;;Medium size households;;;14.89
2012;Spain;Gas price;;;Medium size households;;;18.37
2013;Spain;Gas price;;;Medium size households;;;20.34
2014;Spain;Gas price;;;Medium size households;;;20.9
2015;Spain;Gas price;;;Medium size households;;;20.32
2016;Spain;Gas price;;;Medium size households;;;18.82
2017;Spain;Gas price;;;Medium size households;;;18.52
2018;Spain;Gas price;;;Medium size households;;;184.751
2019;Spain;Gas price;;;Medium size households;;;204.438
2020;Spain;Gas price;;;Medium size households;;;199.309
2021;Spain;Gas price;;;Medium size households;;;192.038
2022;Spain;Gas price;;;Medium size households;;;249.262
2011;France;Gas price;;;Medium size households;;;16.11
2012;France;Gas price;;;Medium size households;;;17.63
2013;France;Gas price;;;Medium size households;;;18.83
2014;France;Gas price;;;Medium size households;;;19.47
2015;France;Gas price;;;Medium size households;;;19.46
2016;France;Gas price;;;Medium size households;;;18.05
2017;France;Gas price;;;Medium size households;;;177.413
2018;France;Gas price;;;Medium size households;;;184.662
2019;France;Gas price;;;Medium size households;;;204.95
2020;France;Gas price;;;Medium size households;;;199.882
2021;France;Gas price;;;Medium size households;;;191.936
2022;France;Gas price;;;Medium size households;;;238.741
2011;Italy;Gas price;;;Medium size households;;;19.27
2012;Italy;Gas price;;;Medium size households;;;21.36
2013;Italy;Gas price;;;Medium size households;;;23.17
2014;Italy;Gas price;;;Medium size households;;;22.14
2015;Italy;Gas price;;;Medium size households;;;21.27
2016;Italy;Gas price;;;Medium size households;;;20.32
2017;Italy;Gas price;;;Medium size households;;;19.56
2018;Italy;Gas price;;;Medium size households;;;198.447
2019;Italy;Gas price;;;Medium size households;;;213.645
2020;Italy;Gas price;;;Medium size households;;;202.286
2021;Italy;Gas price;;;Medium size households;;;195.362
2022;Italy;Gas price;;;Medium size households;;;273.987
2011;Portugal;Gas price;;;Medium size households;;;16.95
2012;Portugal;Gas price;;;Medium size households;;;20.52
2013;Portugal;Gas price;;;Medium size households;;;23.23
2014;Portugal;Gas price;;;Medium size households;;;25.96
2015;Portugal;Gas price;;;Medium size households;;;27.11
2016;Portugal;Gas price;;;Medium size households;;;25.35
2017;Portugal;Gas price;;;Medium size households;;;21.47
2018;Portugal;Gas price;;;Medium size households;;;210.716
2019;Portugal;Gas price;;;Medium size households;;;211.189
2020;Portugal;Gas price;;;Medium size households;;;218.115
2021;Portugal;Gas price;;;Medium size households;;;211.719
2022;Portugal;Gas price;;;Medium size households;;;232.423
2011;Germany;Gas price;;;Non-household, medium size consumers;;;9.65
2012;Germany;Gas price;;;Non-household, medium size consumers;;;9.27
2013;Germany;Gas price;;;Non-household, medium size consumers;;;12.16
2014;Germany;Gas price;;;Non-household, medium size consumers;;;11.35
2015;Germany;Gas price;;;Non-household, medium size consumers;;;9.86
2016;Germany;Gas price;;;Non-household, medium size consumers;;;8.3
2017;Germany;Gas price;;;Non-household, medium size consumers;;;7.69
2018;Germany;Gas price;;;Non-household, medium size consumers;;;76.924
2019;Germany;Gas price;;;Non-household, medium size consumers;;;77.126
2020;Germany;Gas price;;;Non-household, medium size consumers;;;68.036
2021;Germany;Gas price;;;Non-household, medium size consumers;;;66.048
2022;Germany;Gas price;;;Non-household, medium size consumers;;;123.483
2011;Spain;Gas price;;;Non-household, medium size consumers;;;8.36
2012;Spain;Gas price;;;Non-household, medium size consumers;;;10.38
2013;Spain;Gas price;;;Non-household, medium size consumers;;;10.65
2014;Spain;Gas price;;;Non-household, medium size consumers;;;10.23
2015;Spain;Gas price;;;Non-household, medium size consumers;;;9.56
2016;Spain;Gas price;;;Non-household, medium size consumers;;;7.66
2017;Spain;Gas price;;;Non-household, medium size consumers;;;7.429
2018;Spain;Gas price;;;Non-household, medium size consumers;;;79.078
2019;Spain;Gas price;;;Non-household, medium size consumers;;;80.566
2020;Spain;Gas price;;;Non-household, medium size consumers;;;74.751
2021;Spain;Gas price;;;Non-household, medium size consumers;;;61.621
2022;Spain;Gas price;;;Non-household, medium size consumers;;;190.023
2011;France;Gas price;;;Non-household, medium size consumers;;;9.86
2012;France;Gas price;;;Non-household, medium size consumers;;;10.51
2013;France;Gas price;;;Non-household, medium size consumers;;;11.03
2014;France;Gas price;;;Non-household, medium size consumers;;;10.36
2015;France;Gas price;;;Non-household, medium size consumers;;;9.58
2016;France;Gas price;;;Non-household, medium size consumers;;;7.92
2017;France;Gas price;;;Non-household, medium size consumers;;;76.892
2018;France;Gas price;;;Non-household, medium size consumers;;;78.003
2019;France;Gas price;;;Non-household, medium size consumers;;;84.896
2020;France;Gas price;;;Non-household, medium size consumers;;;74.488
2021;France;Gas price;;;Non-household, medium size consumers;;;75.368
2022;France;Gas price;;;Non-household, medium size consumers;;;151.082
2011;Italy;Gas price;;;Non-household, medium size consumers;;;8.24
2012;Italy;Gas price;;;Non-household, medium size consumers;;;10.58
2013;Italy;Gas price;;;Non-household, medium size consumers;;;10.53
2014;Italy;Gas price;;;Non-household, medium size consumers;;;9.58
2015;Italy;Gas price;;;Non-household, medium size consumers;;;9.12
2016;Italy;Gas price;;;Non-household, medium size consumers;;;8.0
2017;Italy;Gas price;;;Non-household, medium size consumers;;;6.88
2018;Italy;Gas price;;;Non-household, medium size consumers;;;73.072
2019;Italy;Gas price;;;Non-household, medium size consumers;;;82.732
2020;Italy;Gas price;;;Non-household, medium size consumers;;;72.576
2021;Italy;Gas price;;;Non-household, medium size consumers;;;63.074
2022;Italy;Gas price;;;Non-household, medium size consumers;;;196.36
2011;Portugal;Gas price;;;Non-household, medium size consumers;;;9.38
2012;Portugal;Gas price;;;Non-household, medium size consumers;;;11.09
2013;Portugal;Gas price;;;Non-household, medium size consumers;;;11.46
2014;Portugal;Gas price;;;Non-household, medium size consumers;;;11.63
2015;Portugal;Gas price;;;Non-household, medium size consumers;;;11.42
2016;Portugal;Gas price;;;Non-household, medium size consumers;;;9.24
2017;Portugal;Gas price;;;Non-household, medium size consumers;;;7.52
2018;Portugal;Gas price;;;Non-household, medium size consumers;;;74.048
2019;Portugal;Gas price;;;Non-household, medium size consumers;;;86.291
2020;Portugal;Gas price;;;Non-household, medium size consumers;;;73.083
2021;Portugal;Gas price;;;Non-household, medium size consumers;;;62.999
2022;Portugal;Gas price;;;Non-household, medium size consumers;;;186.612
2000;Germany;Energy balance;Exports;Solid fossil fuels;;6195161.0;;
2001;Germany;Energy balance;Exports;Solid fossil fuels;;5208279.0;;
2002;Germany;Energy balance;Exports;Solid fossil fuels;;7280692.0;;
2003;Germany;Energy balance;Exports;Solid fossil fuels;;6011843.0;;
2004;Germany;Energy balance;Exports;Solid fossil fuels;;6145711.0;;
2005;Germany;Energy balance;Exports;Solid fossil fuels;;6986948.0;;
2006;Germany;Energy balance;Exports;Solid fossil fuels;;7759214.0;;
2007;Germany;Energy balance;Exports;Solid fossil fuels;;9121268.0;;
2008;Germany;Energy balance;Exports;Solid fossil fuels;;12132612.0;;
2009;Germany;Energy balance;Exports;Solid fossil fuels;;10190342.0;;
2010;Germany;Energy balance;Exports;Solid fossil fuels;;11018784.0;;
2011;Germany;Energy balance;Exports;Solid fossil fuels;;11195906.0;;
2012;Germany;Energy balance;Exports;Solid fossil fuels;;13570901.0;;
2013;Germany;Energy balance;Exports;Solid fossil fuels;;13690240.0;;
2014;Germany;Energy balance;Exports;Solid fossil fuels;;18187985.0;;
2015;Germany;Energy balance;Exports;Solid fossil fuels;;16328275.0;;
2016;Germany;Energy balance;Exports;Solid fossil fuels;;16298114.0;;
2017;Germany;Energy balance;Exports;Solid fossil fuels;;17457964.0;;
2018;Germany;Energy balance;Exports;Solid fossil fuels;;17363786.0;;
2019;Germany;Energy balance;Exports;Solid fossil fuels;;17454591.0;;
2020;Germany;Energy balance;Exports;Solid fossil fuels;;16445558.0;;
2021;Germany;Energy balance;Exports;Solid fossil fuels;;19580520.0;;
2022;Germany;Energy balance;Exports;Solid fossil fuels;;20846226.0;;
2000;Spain;Energy balance;Exports;Solid fossil fuels;;5890000.0;;
2001;Spain;Energy balance;Exports;Solid fossil fuels;;4918874.0;;
2002;Spain;Energy balance;Exports;Solid fossil fuels;;4981441.0;;
2003;Spain;Energy balance;Exports;Solid fossil fuels;;5937500.0;;
2004;Spain;Energy balance;Exports;Solid fossil fuels;;7797917.0;;
2005;Spain;Energy balance;Exports;Solid fossil fuels;;4829167.0;;
2006;Spain;Energy balance;Exports;Solid fossil fuels;;8288750.0;;
2007;Spain;Energy balance;Exports;Solid fossil fuels;;14909141.0;;
2008;Spain;Energy balance;Exports;Solid fossil fuels;;17069990.0;;
2009;Spain;Energy balance;Exports;Solid fossil fuels;;10593338.0;;
2010;Spain;Energy balance;Exports;Solid fossil fuels;;12683313.0;;
2011;Spain;Energy balance;Exports;Solid fossil fuels;;10469855.0;;
2012;Spain;Energy balance;Exports;Solid fossil fuels;;15627264.0;;
2013;Spain;Energy balance;Exports;Solid fossil fuels;;5650984.0;;
2014;Spain;Energy balance;Exports;Solid fossil fuels;;9418482.0;;
2015;Spain;Energy balance;Exports;Solid fossil fuels;;8247705.0;;
2016;Spain;Energy balance;Exports;Solid fossil fuels;;4011513.0;;
2017;Spain;Energy balance;Exports;Solid fossil fuels;;2762040.0;;
2018;Spain;Energy balance;Exports;Solid fossil fuels;;3844869.0;;
2019;Spain;Energy balance;Exports;Solid fossil fuels;;11597349.0;;
2020;Spain;Energy balance;Exports;Solid fossil fuels;;14563281.0;;
2021;Spain;Energy balance;Exports;Solid fossil fuels;;5007657.0;;
2022;Spain;Energy balance;Exports;Solid fossil fuels;;10606256.0;;
2000;France;Energy balance;Exports;Solid fossil fuels;;6279444.0;;
2001;France;Energy balance;Exports;Solid fossil fuels;;5385000.0;;
2002;France;Energy balance;Exports;Solid fossil fuels;;3718333.0;;
2003;France;Energy balance;Exports;Solid fossil fuels;;3886528.0;;
2004;France;Energy balance;Exports;Solid fossil fuels;;7333750.0;;
2005;France;Energy balance;Exports;Solid fossil fuels;;7163750.0;;
2006;France;Energy balance;Exports;Solid fossil fuels;;6488750.0;;
2007;France;Energy balance;Exports;Solid fossil fuels;;7792917.0;;
2008;France;Energy balance;Exports;Solid fossil fuels;;9087083.0;;
2009;France;Energy balance;Exports;Solid fossil fuels;;5627639.0;;
2010;France;Energy balance;Exports;Solid fossil fuels;;2038472.0;;
2011;France;Energy balance;Exports;Solid fossil fuels;;645556.0;;
2012;France;Energy balance;Exports;Solid fossil fuels;;560000.0;;
2013;France;Energy balance;Exports;Solid fossil fuels;;101111.0;;
2014;France;Energy balance;Exports;Solid fossil fuels;;435556.0;;
2015;France;Energy balance;Exports;Solid fossil fuels;;210000.0;;
2016;France;Energy balance;Exports;Solid fossil fuels;;645556.0;;
2017;France;Energy balance;Exports;Solid fossil fuels;;43758.0;;
2018;France;Energy balance;Exports;Solid fossil fuels;;387714.0;;
2019;France;Energy balance;Exports;Solid fossil fuels;;48004.0;;
2020;France;Energy balance;Exports;Solid fossil fuels;;97230.0;;
2021;France;Energy balance;Exports;Solid fossil fuels;;49708.0;;
2022;France;Energy balance;Exports;Solid fossil fuels;;66858.0;;
2000;Italy;Energy balance;Exports;Solid fossil fuels;;1016161.0;;
2001;Italy;Energy balance;Exports;Solid fossil fuels;;659453.0;;
2002;Italy;Energy balance;Exports;Solid fossil fuels;;1031111.0;;
2003;Italy;Energy balance;Exports;Solid fossil fuels;;1329167.0;;
2004;Italy;Energy balance;Exports;Solid fossil fuels;;1965556.0;;
2005;Italy;Energy balance;Exports;Solid fossil fuels;;1844722.0;;
2006;Italy;Energy balance;Exports;Solid fossil fuels;;1772222.0;;
2007;Italy;Energy balance;Exports;Solid fossil fuels;;1731944.0;;
2008;Italy;Energy balance;Exports;Solid fossil fuels;;1925278.0;;
2009;Italy;Energy balance;Exports;Solid fossil fuels;;2223333.0;;
2010;Italy;Energy balance;Exports;Solid fossil fuels;;2475976.0;;
2011;Italy;Energy balance;Exports;Solid fossil fuels;;2220217.0;;
2012;Italy;Energy balance;Exports;Solid fossil fuels;;2454173.0;;
2013;Italy;Energy balance;Exports;Solid fossil fuels;;1981667.0;;
2014;Italy;Energy balance;Exports;Solid fossil fuels;;2753981.0;;
2015;Italy;Energy balance;Exports;Solid fossil fuels;;3050039.0;;
2016;Italy;Energy balance;Exports;Solid fossil fuels;;2947328.0;;
2017;Italy;Energy balance;Exports;Solid fossil fuels;;2724016.0;;
2018;Italy;Energy balance;Exports;Solid fossil fuels;;2901487.0;;
2019;Italy;Energy balance;Exports;Solid fossil fuels;;2333226.0;;
2020;Italy;Energy balance;Exports;Solid fossil fuels;;2438451.0;;
2021;Italy;Energy balance;Exports;Solid fossil fuels;;2101760.0;;
2022;Italy;Energy balance;Exports;Solid fossil fuels;;2753304.0;;
2000;Portugal;Energy balance;Exports;Solid fossil fuels;;623178.0;;
2001;Portugal;Energy balance;Exports;Solid fossil fuels;;0.0;;
2002;Portugal;Energy balance;Exports;Solid fossil fuels;;0.0;;
2003;Portugal;Energy balance;Exports;Solid fossil fuels;;0.0;;
2004;Portugal;Energy balance;Exports;Solid fossil fuels;;0.0;;
2005;Portugal;Energy balance;Exports;Solid fossil fuels;;0.0;;
2006;Portugal;Energy balance;Exports;Solid fossil fuels;;0.0;;
2007;Portugal;Energy balance;Exports;Solid fossil fuels;;0.0;;
2008;Portugal;Energy balance;Exports;Solid fossil fuels;;0.0;;
2009;Portugal;Energy balance;Exports;Solid fossil fuels;;0.0;;
2010;Portugal;Energy balance;Exports;Solid fossil fuels;;0.0;;
2011;Portugal;Energy balance;Exports;Solid fossil fuels;;0.0;;
2012;Portugal;Energy balance;Exports;Solid fossil fuels;;0.0;;
2013;Portugal;Energy balance;Exports;Solid fossil fuels;;0.0;;
2014;Portugal;Energy balance;Exports;Solid fossil fuels;;0.0;;
2015;Portugal;Energy balance;Exports;Solid fossil fuels;;0.0;;
2016;Portugal;Energy balance;Exports;Solid fossil fuels;;0.0;;
2017;Portugal;Energy balance;Exports;Solid fossil fuels;;0.0;;
2018;Portugal;Energy balance;Exports;Solid fossil fuels;;0.0;;
2019;Portugal;Energy balance;Exports;Solid fossil fuels;;0.0;;
2020;Portugal;Energy balance;Exports;Solid fossil fuels;;560000.0;;
2021;Portugal;Energy balance;Exports;Solid fossil fuels;;0.0;;
2022;Portugal;Energy balance;Exports;Solid fossil fuels;;0.0;;
2000;Germany;Energy balance;Exports;Natural gas;;49081500.0;;
2001;Germany;Energy balance;Exports;Natural gas;;61028750.0;;
2002;Germany;Energy balance;Exports;Natural gas;;67302250.0;;
2003;Germany;Energy balance;Exports;Natural gas;;124222542.0;;
2004;Germany;Energy balance;Exports;Natural gas;;139281456.0;;
2005;Germany;Energy balance;Exports;Natural gas;;197248626.0;;
2006;Germany;Energy balance;Exports;Natural gas;;151081389.0;;
2007;Germany;Energy balance;Exports;Natural gas;;152749379.0;;
2008;Germany;Energy balance;Exports;Natural gas;;146666164.0;;
2009;Germany;Energy balance;Exports;Natural gas;;128952015.0;;
2010;Germany;Energy balance;Exports;Natural gas;;199538363.0;;
2011;Germany;Energy balance;Exports;Natural gas;;171583272.0;;
2012;Germany;Energy balance;Exports;Natural gas;;165866055.0;;
2013;Germany;Energy balance;Exports;Natural gas;;214048030.0;;
2014;Germany;Energy balance;Exports;Natural gas;;217105513.0;;
2015;Germany;Energy balance;Exports;Natural gas;;316831194.0;;
2016;Germany;Energy balance;Exports;Natural gas;;224784469.0;;
2017;Germany;Energy balance;Exports;Natural gas;;312849472.0;;
2018;Germany;Energy balance;Exports;Natural gas;;0.0;;
2019;Germany;Energy balance;Exports;Natural gas;;0.0;;
2020;Germany;Energy balance;Exports;Natural gas;;0.0;;
2021;Germany;Energy balance;Exports;Natural gas;;0.0;;
2022;Germany;Energy balance;Exports;Natural gas;;0.0;;
2000;Spain;Energy balance;Exports;Natural gas;;0.0;;
2001;Spain;Energy balance;Exports;Natural gas;;0.0;;
2002;Spain;Energy balance;Exports;Natural gas;;0.0;;
2003;Spain;Energy balance;Exports;Natural gas;;0.0;;
2004;Spain;Energy balance;Exports;Natural gas;;0.0;;
2005;Spain;Energy balance;Exports;Natural gas;;0.0;;
2006;Spain;Energy balance;Exports;Natural gas;;0.0;;
2007;Spain;Energy balance;Exports;Natural gas;;0.0;;
2008;Spain;Energy balance;Exports;Natural gas;;474757.0;;
2009;Spain;Energy balance;Exports;Natural gas;;10387971.0;;
2010;Spain;Energy balance;Exports;Natural gas;;11687410.0;;
2011;Spain;Energy balance;Exports;Natural gas;;17166453.0;;
2012;Spain;Energy balance;Exports;Natural gas;;28279655.0;;
2013;Spain;Energy balance;Exports;Natural gas;;59016926.0;;
2014;Spain;Energy balance;Exports;Natural gas;;83176000.0;;
2015;Spain;Energy balance;Exports;Natural gas;;51198188.0;;
2016;Spain;Energy balance;Exports;Natural gas;;40344918.0;;
2017;Spain;Energy balance;Exports;Natural gas;;29146500.0;;
2018;Spain;Energy balance;Exports;Natural gas;;32852000.0;;
2019;Spain;Energy balance;Exports;Natural gas;;11378500.0;;
2020;Spain;Energy balance;Exports;Natural gas;;11852091.0;;
2021;Spain;Energy balance;Exports;Natural gas;;30565261.0;;
2022;Spain;Energy balance;Exports;Natural gas;;61262838.0;;
2000;France;Energy balance;Exports;Natural gas;;7920085.0;;
2001;France;Energy balance;Exports;Natural gas;;9295350.0;;
2002;France;Energy balance;Exports;Natural gas;;8767024.0;;
2003;France;Energy balance;Exports;Natural gas;;10476028.0;;
2004;France;Energy balance;Exports;Natural gas;;14636619.0;;
2005;France;Energy balance;Exports;Natural gas;;10504884.0;;
2006;France;Energy balance;Exports;Natural gas;;7899587.0;;
2007;France;Energy balance;Exports;Natural gas;;9047900.0;;
2008;France;Energy balance;Exports;Natural gas;;12747715.0;;
2009;France;Energy balance;Exports;Natural gas;;22406438.0;;
2010;France;Energy balance;Exports;Natural gas;;29745422.0;;
2011;France;Energy balance;Exports;Natural gas;;67509518.0;;
2012;France;Energy balance;Exports;Natural gas;;62380800.0;;
2013;France;Energy balance;Exports;Natural gas;;52474719.0;;
2014;France;Energy balance;Exports;Natural gas;;46114371.0;;
2015;France;Energy balance;Exports;Natural gas;;34647966.0;;
2016;France;Energy balance;Exports;Natural gas;;16795836.0;;
2017;France;Energy balance;Exports;Natural gas;;40885199.0;;
2018;France;Energy balance;Exports;Natural gas;;37454604.0;;
2019;France;Energy balance;Exports;Natural gas;;94844722.0;;
2020;France;Energy balance;Exports;Natural gas;;84518290.0;;
2021;France;Energy balance;Exports;Natural gas;;55833637.0;;
2022;France;Energy balance;Exports;Natural gas;;154171595.0;;
2000;Italy;Energy balance;Exports;Natural gas;;476750.0;;
2001;Italy;Energy balance;Exports;Natural gas;;591250.0;;
2002;Italy;Energy balance;Exports;Natural gas;;495250.0;;
2003;Italy;Energy balance;Exports;Natural gas;;3629000.0;;
2004;Italy;Energy balance;Exports;Natural gas;;3762500.0;;
2005;Italy;Energy balance;Exports;Natural gas;;3772000.0;;
2006;Italy;Energy balance;Exports;Natural gas;;3514500.0;;
2007;Italy;Energy balance;Exports;Natural gas;;647750.0;;
2008;Italy;Energy balance;Exports;Natural gas;;2000750.0;;
2009;Italy;Energy balance;Exports;Natural gas;;1191000.0;;
2010;Italy;Energy balance;Exports;Natural gas;;1343000.0;;
2011;Italy;Energy balance;Exports;Natural gas;;1181500.0;;
2012;Italy;Energy balance;Exports;Natural gas;;1324000.0;;
2013;Italy;Energy balance;Exports;Natural gas;;2171750.0;;
2014;Italy;Energy balance;Exports;Natural gas;;2257500.0;;
2015;Italy;Energy balance;Exports;Natural gas;;2105000.0;;
2016;Italy;Energy balance;Exports;Natural gas;;2019250.0;;
2017;Italy;Energy balance;Exports;Natural gas;;2596287.0;;
2018;Italy;Energy balance;Exports;Natural gas;;3719551.0;;
