DATAFLOW;LAST UPDATE;freq;product;currency;unit;indic_en;geo;TIME_PERIOD;OBS_VALUE;OBS_FLAG
ESTAT:TEN00118(1.0);19/6/24 23:00;A;4100;EUR;GJ_GCV;MSHH;FR;2020;199.882;
ESTAT:TEN00118(1.0);19/6/24 23:00;A;4100;EUR;GJ_GCV;MSHH;FR;2021;191.936;
ESTAT:TEN00118(1.0);19/6/24 23:00;A;4100;EUR;GJ_GCV;MSHH;FR;2022;238.741;
ESTAT:TEN00118(1.0);19/6/24 23:00;A;4100;EUR;GJ_GCV;MSHH;IT;2011;19.27;
ESTAT:TEN00118(1.0);19/6/24 23:00;A;4100;EUR;GJ_GCV;MSHH;IT;2012;21.36;
ESTAT:TEN00118(1.0);19/6/24 23:00;A;4100;EUR;GJ_GCV;MSHH;IT;2013;23.17;
ESTAT:TEN00118(1.0);19/6/24 23:00;A;4100;EUR;GJ_GCV;MSHH;IT;2014;22.14;
ESTAT:TEN00118(1.0);19/6/24 23:00;A;4100;EUR;GJ_GCV;MSHH;IT;2015;21.27;
ESTAT:TEN00118(1.0);19/6/24 23:00;A;4100;EUR;GJ_GCV;MSHH;IT;2016;20.32;
ESTAT:TEN00118(1.0);19/6/24 23:00;A;4100;EUR;GJ_GCV;MSHH;IT;2017;19.56;
ESTAT:TEN00118(1.0);19/6/24 23:00;A;4100;EUR;GJ_GCV;MSHH;IT;2018;198.447;
ESTAT:TEN00118(1.0);19/6/24 23:00;A;4100;EUR;GJ_GCV;MSHH;IT;2019;213.645;
ESTAT:TEN00118(1.0);19/6/24 23:00;A;4100;EUR;GJ_GCV;MSHH;IT;2020;202.286;
ESTAT:TEN00118(1.0);19/6/24 23:00;A;4100;EUR;GJ_GCV;MSHH;IT;2021;195.362;
ESTAT:TEN00118(1.0);19/6/24 23:00;A;4100;EUR;GJ_GCV;MSHH;IT;2022;273.987;
ESTAT:TEN00118(1.0);19/6/24 23:00;A;4100;EUR;GJ_GCV;MSHH;PT;2011;16.95;
ESTAT:TEN00118(1.0);19/6/24 23:00;A;4100;EUR;GJ_GCV;MSHH;PT;2012;20.52;
ESTAT:TEN00118(1.0);19/6/24 23:00;A;4100;EUR;GJ_GCV;MSHH;PT;2013;23.23;
ESTAT:TEN00118(1.0);19/6/24 23:00;A;4100;EUR;GJ_GCV;MSHH;PT;2014;25.96;
ESTAT:TEN00118(1.0);19/6/24 23:00;A;4100;EUR;GJ_GCV;MSHH;PT;2015;27.11;
ESTAT:TEN00118(1.0);19/6/24 23:00;A;4100;EUR;GJ_GCV;MSHH;PT;2016;25.35;
ESTAT:TEN00118(1.0);19/6/24 23:00;A;4100;EUR;GJ_GCV;MSHH;PT;2017;21.47;
ESTAT:TEN00118(1.0);19/6/24 23:00;A;4100;EUR;GJ_GCV;MSHH;PT;2018;210.716;
ESTAT:TEN00118(1.0);19/6/24 23:00;A;4100;EUR;GJ_GCV;MSHH;PT;2019;211.189;
ESTAT:TEN00118(1.0);19/6/24 23:00;A;4100;EUR;GJ_GCV;MSHH;PT;2020;218.115;
ESTAT:TEN00118(1.0);19/6/24 23:00;A;4100;EUR;GJ_GCV;MSHH;PT;2021;211.719;
ESTAT:TEN00118(1.0);19/6/24 23:00;A;4100;EUR;GJ_GCV;MSHH;PT;2022;232.423;
ESTAT:TEN00118(1.0);19/6/24 23:00;A;4100;EUR;GJ_GCV;MSIND;DE;2011;9.65;
ESTAT:TEN00118(1.0);19/6/24 23:00;A;4100;EUR;GJ_GCV;MSIND;DE;2012;9.27;
ESTAT:TEN00118(1.0);19/6/24 23:00;A;4100;EUR;GJ_GCV;MSIND;DE;2013;12.16;
ESTAT:TEN00118(1.0);19/6/24 23:00;A;4100;EUR;GJ_GCV;MSIND;DE;2014;11.35;
ESTAT:TEN00118(1.0);19/6/24 23:00;A;4100;EUR;GJ_GCV;MSIND;DE;2015;9.86;
ESTAT:TEN00118(1.0);19/6/24 23:00;A;4100;EUR;GJ_GCV;MSIND;DE;2016;8.3;
ESTAT:TEN00118(1.0);19/6/24 23:00;A;4100;EUR;GJ_GCV;MSIND;DE;2017;7.69;
ESTAT:TEN00118(1.0);19/6/24 23:00;A;4100;EUR;GJ_GCV;MSIND;DE;2018;76.924;
ESTAT:TEN00118(1.0);19/6/24 23:00;A;4100;EUR;GJ_GCV;MSIND;DE;2019;77.126;
ESTAT:TEN00118(1.0);19/6/24 23:00;A;4100;EUR;GJ_GCV;MSIND;DE;2020;68.036;
ESTAT:TEN00118(1.0);19/6/24 23:00;A;4100;EUR;GJ_GCV;MSIND;DE;2021;66.048;
ESTAT:TEN00118(1.0);19/6/24 23:00;A;4100;EUR;GJ_GCV;MSIND;DE;2022;123.483;
ESTAT:TEN00118(1.0);19/6/24 23:00;A;4100;EUR;GJ_GCV;MSIND;ES;2011;8.36;
ESTAT:TEN00118(1.0);19/6/24 23:00;A;4100;EUR;GJ_GCV;MSIND;ES;2012;10.38;
ESTAT:TEN00118(1.0);19/6/24 23:00;A;4100;EUR;GJ_GCV;MSIND;ES;2013;10.65;
ESTAT:TEN00118(1.0);19/6/24 23:00;A;4100;EUR;GJ_GCV;MSIND;ES;2014;10.23;
ESTAT:TEN00118(1.0);19/6/24 23:00;A;4100;EUR;GJ_GCV;MSIND;ES;2015;9.56;
ESTAT:TEN00118(1.0);19/6/24 23:00;A;4100;EUR;GJ_GCV;MSIND;ES;2016;7.66;
ESTAT:TEN00118(1.0);19/6/24 23:00;A;4100;EUR;GJ_GCV;MSIND;ES;2017;7.429;
ESTAT:TEN00118(1.0);19/6/24 23:00;A;4100;EUR;GJ_GCV;MSIND;ES;2018;79.078;
ESTAT:TEN00118(1.0);19/6/24 23:00;A;4100;EUR;GJ_GCV;MSIND;ES;2019;80.566;
