time_period,geo_entity,category,energy_product_class,costumer,unit_of_measure,obs_value
2000,Germany,Exports,"Solid fossil fuels",NULL,GWh,6195161.000
2001,Germany,Exports,"Solid fossil fuels",NULL,GWh,5208279.000
2002,Germany,Exports,"Solid fossil fuels",NULL,GWh,7280692.000
2003,Germany,Exports,"Solid fossil fuels",NULL,GWh,6011843.000
2004,Germany,Exports,"Solid fossil fuels",NULL,GWh,6145711.000
2005,Germany,Exports,"Solid fossil fuels",NULL,GWh,6986948.000
2006,Germany,Exports,"Solid fossil fuels",NULL,GWh,7759214.000
2007,Germany,Exports,"Solid fossil fuels",NULL,GWh,9121268.000
2008,Germany,Exports,"Solid fossil fuels",NULL,GWh,12132612.000
2009,Germany,Exports,"Solid fossil fuels",NULL,GWh,10190342.000
2010,Germany,Exports,"Solid fossil fuels",NULL,GWh,11018784.000
2011,Germany,Exports,"Solid fossil fuels",NULL,GWh,11195906.000
2012,Germany,Exports,"Solid fossil fuels",NULL,GWh,13570901.000
2013,Germany,Exports,"Solid fossil fuels",NULL,GWh,13690240.000
2014,Germany,Exports,"Solid fossil fuels",NULL,GWh,18187985.000
2015,Germany,Exports,"Solid fossil fuels",NULL,GWh,16328275.000
2016,Germany,Exports,"Solid fossil fuels",NULL,GWh,16298114.000
2017,Germany,Exports,"Solid fossil fuels",NULL,GWh,17457964.000
2018,Germany,Exports,"Solid fossil fuels",NULL,GWh,17363786.000
2019,Germany,Exports,"Solid fossil fuels",NULL,GWh,17454591.000
2020,Germany,Exports,"Solid fossil fuels",NULL,GWh,16445558.000
2021,Germany,Exports,"Solid fossil fuels",NULL,GWh,19580520.000
2022,Germany,Exports,"Solid fossil fuels",NULL,GWh,20846226.000
2000,Spain,Exports,"Solid fossil fuels",NULL,GWh,5890000.000
2001,Spain,Exports,"Solid fossil fuels",NULL,GWh,4918874.000
2002,Spain,Exports,"Solid fossil fuels",NULL,GWh,4981441.000
2003,Spain,Exports,"Solid fossil fuels",NULL,GWh,5937500.000
2004,Spain,Exports,"Solid fossil fuels",NULL,GWh,7797917.000
2005,Spain,Exports,"Solid fossil fuels",NULL,GWh,4829167.000
2006,Spain,Exports,"Solid fossil fuels",NULL,GWh,8288750.000
2007,Spain,Exports,"Solid fossil fuels",NULL,GWh,14909141.000
2008,Spain,Exports,"Solid fossil fuels",NULL,GWh,17069990.000
2009,Spain,Exports,"Solid fossil fuels",NULL,GWh,10593338.000
2010,Spain,Exports,"Solid fossil fuels",NULL,GWh,12683313.000
2011,Spain,Exports,"Solid fossil fuels",NULL,GWh,10469855.000
2012,Spain,Exports,"Solid fossil fuels",NULL,GWh,15627264.000
2013,Spain,Exports,"Solid fossil fuels",NULL,GWh,5650984.000
2014,Spain,Exports,"Solid fossil fuels",NULL,GWh,9418482.000
2015,Spain,Exports,"Solid fossil fuels",NULL,GWh,8247705.000
2016,Spain,Exports,"Solid fossil fuels",NULL,GWh,4011513.000
2017,Spain,Exports,"Solid fossil fuels",NULL,GWh,2762040.000
2018,Spain,Exports,"Solid fossil fuels",NULL,GWh,3844869.000
2019,Spain,Exports,"Solid fossil fuels",NULL,GWh,11597349.000
2020,Spain,Exports,"Solid fossil fuels",NULL,GWh,14563281.000
2021,Spain,Exports,"Solid fossil fuels",NULL,GWh,5007657.000
2022,Spain,Exports,"Solid fossil fuels",NULL,GWh,10606256.000
2000,Europe,Exports,"Solid fossil fuels",NULL,GWh,312464343.000
2001,Europe,Exports,"Solid fossil fuels",NULL,GWh,312902138.000
2002,Europe,Exports,"Solid fossil fuels",NULL,GWh,303418073.000
2003,Europe,Exports,"Solid fossil fuels",NULL,GWh,281751991.000
2004,Europe,Exports,"Solid fossil fuels",NULL,GWh,290074432.000
2005,Europe,Exports,"Solid fossil fuels",NULL,GWh,268944289.000
2006,Europe,Exports,"Solid fossil fuels",NULL,GWh,292733767.000
2007,Europe,Exports,"Solid fossil fuels",NULL,GWh,265861510.000
2008,Europe,Exports,"Solid fossil fuels",NULL,GWh,236951859.000
2009,Europe,Exports,"Solid fossil fuels",NULL,GWh,216251397.000
2010,Europe,Exports,"Solid fossil fuels",NULL,GWh,235521505.000
2011,Europe,Exports,"Solid fossil fuels",NULL,GWh,201828768.000
2012,Europe,Exports,"Solid fossil fuels",NULL,GWh,207649348.000
2013,Europe,Exports,"Solid fossil fuels",NULL,GWh,223156116.000
2014,Europe,Exports,"Solid fossil fuels",NULL,GWh,216591631.000
2015,Europe,Exports,"Solid fossil fuels",NULL,GWh,197699146.000
2016,Europe,Exports,"Solid fossil fuels",NULL,GWh,194941433.000
2017,Europe,Exports,"Solid fossil fuels",NULL,GWh,168662346.000
2018,Europe,Exports,"Solid fossil fuels",NULL,GWh,149250401.000
2019,Europe,Exports,"Solid fossil fuels",NULL,GWh,145951504.000
2020,Europe,Exports,"Solid fossil fuels",NULL,GWh,146406334.000
2021,Europe,Exports,"Solid fossil fuels",NULL,GWh,165429245.000
2022,Europe,Exports,"Solid fossil fuels",NULL,GWh,153264260.000
2000,France,Exports,"Solid fossil fuels",NULL,GWh,6279444.000
2001,France,Exports,"Solid fossil fuels",NULL,GWh,5385000.000
2002,France,Exports,"Solid fossil fuels",NULL,GWh,3718333.000
2003,France,Exports,"Solid fossil fuels",NULL,GWh,3886528.000
2004,France,Exports,"Solid fossil fuels",NULL,GWh,7333750.000
2005,France,Exports,"Solid fossil fuels",NULL,GWh,7163750.000
2006,France,Exports,"Solid fossil fuels",NULL,GWh,6488750.000
2007,France,Exports,"Solid fossil fuels",NULL,GWh,7792917.000
2008,France,Exports,"Solid fossil fuels",NULL,GWh,9087083.000
2009,France,Exports,"Solid fossil fuels",NULL,GWh,5627639.000
2010,France,Exports,"Solid fossil fuels",NULL,GWh,2038472.000
2011,France,Exports,"Solid fossil fuels",NULL,GWh,645556.000
2012,France,Exports,"Solid fossil fuels",NULL,GWh,560000.000
2013,France,Exports,"Solid fossil fuels",NULL,GWh,101111.000
2014,France,Exports,"Solid fossil fuels",NULL,GWh,435556.000
2015,France,Exports,"Solid fossil fuels",NULL,GWh,210000.000
2016,France,Exports,"Solid fossil fuels",NULL,GWh,645556.000
2017,France,Exports,"Solid fossil fuels",NULL,GWh,43758.000
2018,France,Exports,"Solid fossil fuels",NULL,GWh,387714.000
2019,France,Exports,"Solid fossil fuels",NULL,GWh,48004.000
2020,France,Exports,"Solid fossil fuels",NULL,GWh,97230.000
2021,France,Exports,"Solid fossil fuels",NULL,GWh,49708.000
2022,France,Exports,"Solid fossil fuels",NULL,GWh,66858.000
2000,Italy,Exports,"Solid fossil fuels",NULL,GWh,1016161.000
2001,Italy,Exports,"Solid fossil fuels",NULL,GWh,659453.000
2002,Italy,Exports,"Solid fossil fuels",NULL,GWh,1031111.000
2003,Italy,Exports,"Solid fossil fuels",NULL,GWh,1329167.000
2004,Italy,Exports,"Solid fossil fuels",NULL,GWh,1965556.000
2005,Italy,Exports,"Solid fossil fuels",NULL,GWh,1844722.000
2006,Italy,Exports,"Solid fossil fuels",NULL,GWh,1772222.000
2007,Italy,Exports,"Solid fossil fuels",NULL,GWh,1731944.000
2008,Italy,Exports,"Solid fossil fuels",NULL,GWh,1925278.000
2009,Italy,Exports,"Solid fossil fuels",NULL,GWh,2223333.000
2010,Italy,Exports,"Solid fossil fuels",NULL,GWh,2475976.000
2011,Italy,Exports,"Solid fossil fuels",NULL,GWh,2220217.000
2012,Italy,Exports,"Solid fossil fuels",NULL,GWh,2454173.000
2013,Italy,Exports,"Solid fossil fuels",NULL,GWh,1981667.000
2014,Italy,Exports,"Solid fossil fuels",NULL,GWh,2753981.000
2015,Italy,Exports,"Solid fossil fuels",NULL,GWh,3050039.000
2016,Italy,Exports,"Solid fossil fuels",NULL,GWh,2947328.000
2017,Italy,Exports,"Solid fossil fuels",NULL,GWh,2724016.000
2018,Italy,Exports,"Solid fossil fuels",NULL,GWh,2901487.000
2019,Italy,Exports,"Solid fossil fuels",NULL,GWh,2333226.000
2020,Italy,Exports,"Solid fossil fuels",NULL,GWh,2438451.000
2021,Italy,Exports,"Solid fossil fuels",NULL,GWh,2101760.000
2022,Italy,Exports,"Solid fossil fuels",NULL,GWh,2753304.000
2000,Portugal,Exports,"Solid fossil fuels",NULL,GWh,623178.000
2001,Portugal,Exports,"Solid fossil fuels",NULL,GWh,0.000
2002,Portugal,Exports,"Solid fossil fuels",NULL,GWh,0.000
2003,Portugal,Exports,"Solid fossil fuels",NULL,GWh,0.000
2004,Portugal,Exports,"Solid fossil fuels",NULL,GWh,0.000
2005,Portugal,Exports,"Solid fossil fuels",NULL,GWh,0.000
2006,Portugal,Exports,"Solid fossil fuels",NULL,GWh,0.000
2007,Portugal,Exports,"Solid fossil fuels",NULL,GWh,0.000
2008,Portugal,Exports,"Solid fossil fuels",NULL,GWh,0.000
2009,Portugal,Exports,"Solid fossil fuels",NULL,GWh,0.000
2010,Portugal,Exports,"Solid fossil fuels",NULL,GWh,0.000
2011,Portugal,Exports,"Solid fossil fuels",NULL,GWh,0.000
2012,Portugal,Exports,"Solid fossil fuels",NULL,GWh,0.000
2013,Portugal,Exports,"Solid fossil fuels",NULL,GWh,0.000
2014,Portugal,Exports,"Solid fossil fuels",NULL,GWh,0.000
2015,Portugal,Exports,"Solid fossil fuels",NULL,GWh,0.000
2016,Portugal,Exports,"Solid fossil fuels",NULL,GWh,0.000
2017,Portugal,Exports,"Solid fossil fuels",NULL,GWh,0.000
2018,Portugal,Exports,"Solid fossil fuels",NULL,GWh,0.000
2019,Portugal,Exports,"Solid fossil fuels",NULL,GWh,0.000
2020,Portugal,Exports,"Solid fossil fuels",NULL,GWh,560000.000
2021,Portugal,Exports,"Solid fossil fuels",NULL,GWh,0.000
2022,Portugal,Exports,"Solid fossil fuels",NULL,GWh,0.000
2000,Germany,Exports,"Natural gas",NULL,GWh,49081500.000
2001,Germany,Exports,"Natural gas",NULL,GWh,61028750.000
2002,Germany,Exports,"Natural gas",NULL,GWh,67302250.000
2003,Germany,Exports,"Natural gas",NULL,GWh,124222542.000
2004,Germany,Exports,"Natural gas",NULL,GWh,139281456.000
2005,Germany,Exports,"Natural gas",NULL,GWh,197248626.000
2006,Germany,Exports,"Natural gas",NULL,GWh,151081389.000
2007,Germany,Exports,"Natural gas",NULL,GWh,152749379.000
2008,Germany,Exports,"Natural gas",NULL,GWh,146666164.000
2009,Germany,Exports,"Natural gas",NULL,GWh,128952015.000
2010,Germany,Exports,"Natural gas",NULL,GWh,199538363.000
2011,Germany,Exports,"Natural gas",NULL,GWh,171583272.000
2012,Germany,Exports,"Natural gas",NULL,GWh,165866055.000
2013,Germany,Exports,"Natural gas",NULL,GWh,214048030.000
2014,Germany,Exports,"Natural gas",NULL,GWh,217105513.000
2015,Germany,Exports,"Natural gas",NULL,GWh,316831194.000
2016,Germany,Exports,"Natural gas",NULL,GWh,224784469.000
2017,Germany,Exports,"Natural gas",NULL,GWh,312849472.000
2018,Germany,Exports,"Natural gas",NULL,GWh,0.000
2019,Germany,Exports,"Natural gas",NULL,GWh,0.000
2020,Germany,Exports,"Natural gas",NULL,GWh,0.000
2021,Germany,Exports,"Natural gas",NULL,GWh,0.000
2022,Germany,Exports,"Natural gas",NULL,GWh,0.000
2000,Spain,Exports,"Natural gas",NULL,GWh,0.000
2001,Spain,Exports,"Natural gas",NULL,GWh,0.000
2002,Spain,Exports,"Natural gas",NULL,GWh,0.000
2003,Spain,Exports,"Natural gas",NULL,GWh,0.000
2004,Spain,Exports,"Natural gas",NULL,GWh,0.000
2005,Spain,Exports,"Natural gas",NULL,GWh,0.000
2006,Spain,Exports,"Natural gas",NULL,GWh,0.000
2007,Spain,Exports,"Natural gas",NULL,GWh,0.000
2008,Spain,Exports,"Natural gas",NULL,GWh,474757.000
2009,Spain,Exports,"Natural gas",NULL,GWh,10387971.000
2010,Spain,Exports,"Natural gas",NULL,GWh,11687410.000
2011,Spain,Exports,"Natural gas",NULL,GWh,17166453.000
2012,Spain,Exports,"Natural gas",NULL,GWh,28279655.000
2013,Spain,Exports,"Natural gas",NULL,GWh,59016926.000
2014,Spain,Exports,"Natural gas",NULL,GWh,83176000.000
2015,Spain,Exports,"Natural gas",NULL,GWh,51198188.000
2016,Spain,Exports,"Natural gas",NULL,GWh,40344918.000
2017,Spain,Exports,"Natural gas",NULL,GWh,29146500.000
2018,Spain,Exports,"Natural gas",NULL,GWh,32852000.000
2019,Spain,Exports,"Natural gas",NULL,GWh,11378500.000
2020,Spain,Exports,"Natural gas",NULL,GWh,11852091.000
2021,Spain,Exports,"Natural gas",NULL,GWh,30565261.000
2022,Spain,Exports,"Natural gas",NULL,GWh,61262838.000
2000,Europe,Exports,"Natural gas",NULL,GWh,437298097.000
2001,Europe,Exports,"Natural gas",NULL,GWh,526059118.000
2002,Europe,Exports,"Natural gas",NULL,GWh,559507773.000
2003,Europe,Exports,"Natural gas",NULL,GWh,584778575.000
2004,Europe,Exports,"Natural gas",NULL,GWh,664855224.000
2005,Europe,Exports,"Natural gas",NULL,GWh,713552176.000
2006,Europe,Exports,"Natural gas",NULL,GWh,688086272.000
2007,Europe,Exports,"Natural gas",NULL,GWh,683795983.000
2008,Europe,Exports,"Natural gas",NULL,GWh,749612504.000
2009,Europe,Exports,"Natural gas",NULL,GWh,712597594.000
2010,Europe,Exports,"Natural gas",NULL,GWh,816006879.000
2011,Europe,Exports,"Natural gas",NULL,GWh,816682965.000
2012,Europe,Exports,"Natural gas",NULL,GWh,842115471.000
2013,Europe,Exports,"Natural gas",NULL,GWh,969777334.000
2014,Europe,Exports,"Natural gas",NULL,GWh,903705574.000
2015,Europe,Exports,"Natural gas",NULL,GWh,915786507.000
2016,Europe,Exports,"Natural gas",NULL,GWh,822456694.000
2017,Europe,Exports,"Natural gas",NULL,GWh,645927519.000
2018,Europe,Exports,"Natural gas",NULL,GWh,320534243.000
2019,Europe,Exports,"Natural gas",NULL,GWh,387359445.000
2020,Europe,Exports,"Natural gas",NULL,GWh,305799217.000
2021,Europe,Exports,"Natural gas",NULL,GWh,311747587.000
2022,Europe,Exports,"Natural gas",NULL,GWh,563699030.000
2000,France,Exports,"Natural gas",NULL,GWh,7920085.000
2001,France,Exports,"Natural gas",NULL,GWh,9295350.000
2002,France,Exports,"Natural gas",NULL,GWh,8767024.000
2003,France,Exports,"Natural gas",NULL,GWh,10476028.000
2004,France,Exports,"Natural gas",NULL,GWh,14636619.000
2005,France,Exports,"Natural gas",NULL,GWh,10504884.000
2006,France,Exports,"Natural gas",NULL,GWh,7899587.000
2007,France,Exports,"Natural gas",NULL,GWh,9047900.000
2008,France,Exports,"Natural gas",NULL,GWh,12747715.000
2009,France,Exports,"Natural gas",NULL,GWh,22406438.000
2010,France,Exports,"Natural gas",NULL,GWh,29745422.000
2011,France,Exports,"Natural gas",NULL,GWh,67509518.000
2012,France,Exports,"Natural gas",NULL,GWh,62380800.000
2013,France,Exports,"Natural gas",NULL,GWh,52474719.000
2014,France,Exports,"Natural gas",NULL,GWh,46114371.000
2015,France,Exports,"Natural gas",NULL,GWh,34647966.000
2016,France,Exports,"Natural gas",NULL,GWh,16795836.000
2017,France,Exports,"Natural gas",NULL,GWh,40885199.000
2018,France,Exports,"Natural gas",NULL,GWh,37454604.000
2019,France,Exports,"Natural gas",NULL,GWh,94844722.000
2020,France,Exports,"Natural gas",NULL,GWh,84518290.000
2021,France,Exports,"Natural gas",NULL,GWh,55833637.000
2022,France,Exports,"Natural gas",NULL,GWh,154171595.000
2000,Italy,Exports,"Natural gas",NULL,GWh,476750.000
2001,Italy,Exports,"Natural gas",NULL,GWh,591250.000
2002,Italy,Exports,"Natural gas",NULL,GWh,495250.000
2003,Italy,Exports,"Natural gas",NULL,GWh,3629000.000
2004,Italy,Exports,"Natural gas",NULL,GWh,3762500.000
2005,Italy,Exports,"Natural gas",NULL,GWh,3772000.000
2006,Italy,Exports,"Natural gas",NULL,GWh,3514500.000
2007,Italy,Exports,"Natural gas",NULL,GWh,647750.000
2008,Italy,Exports,"Natural gas",NULL,GWh,2000750.000
2009,Italy,Exports,"Natural gas",NULL,GWh,1191000.000
2010,Italy,Exports,"Natural gas",NULL,GWh,1343000.000
2011,Italy,Exports,"Natural gas",NULL,GWh,1181500.000
2012,Italy,Exports,"Natural gas",NULL,GWh,1324000.000
2013,Italy,Exports,"Natural gas",NULL,GWh,2171750.000
2014,Italy,Exports,"Natural gas",NULL,GWh,2257500.000
2015,Italy,Exports,"Natural gas",NULL,GWh,2105000.000
2016,Italy,Exports,"Natural gas",NULL,GWh,2019250.000
2017,Italy,Exports,"Natural gas",NULL,GWh,2596287.000
2018,Italy,Exports,"Natural gas",NULL,GWh,3719551.000
2019,Italy,Exports,"Natural gas",NULL,GWh,3099816.000
2020,Italy,Exports,"Natural gas",NULL,GWh,3005709.000
2021,Italy,Exports,"Natural gas",NULL,GWh,14701809.000
2022,Italy,Exports,"Natural gas",NULL,GWh,43947922.000
2000,Portugal,Exports,"Natural gas",NULL,GWh,0.000
2001,Portugal,Exports,"Natural gas",NULL,GWh,0.000
2002,Portugal,Exports,"Natural gas",NULL,GWh,0.000
2003,Portugal,Exports,"Natural gas",NULL,GWh,0.000
2004,Portugal,Exports,"Natural gas",NULL,GWh,0.000
2005,Portugal,Exports,"Natural gas",NULL,GWh,0.000
2006,Portugal,Exports,"Natural gas",NULL,GWh,0.000
2007,Portugal,Exports,"Natural gas",NULL,GWh,0.000
2008,Portugal,Exports,"Natural gas",NULL,GWh,0.000
2009,Portugal,Exports,"Natural gas",NULL,GWh,0.000
2010,Portugal,Exports,"Natural gas",NULL,GWh,0.000
2011,Portugal,Exports,"Natural gas",NULL,GWh,0.000
2012,Portugal,Exports,"Natural gas",NULL,GWh,0.000
2013,Portugal,Exports,"Natural gas",NULL,GWh,0.000
2014,Portugal,Exports,"Natural gas",NULL,GWh,0.000
2015,Portugal,Exports,"Natural gas",NULL,GWh,0.000
2016,Portugal,Exports,"Natural gas",NULL,GWh,0.000
2017,Portugal,Exports,"Natural gas",NULL,GWh,0.000
2018,Portugal,Exports,"Natural gas",NULL,GWh,0.000
2019,Portugal,Exports,"Natural gas",NULL,GWh,0.000
2020,Portugal,Exports,"Natural gas",NULL,GWh,0.000
2021,Portugal,Exports,"Natural gas",NULL,GWh,0.000
2022,Portugal,Exports,"Natural gas",NULL,GWh,0.000
2000,Germany,Exports,"Nuclear heat",NULL,GWh,NULL
2001,Germany,Exports,"Nuclear heat",NULL,GWh,NULL
2002,Germany,Exports,"Nuclear heat",NULL,GWh,NULL
2003,Germany,Exports,"Nuclear heat",NULL,GWh,NULL
2004,Germany,Exports,"Nuclear heat",NULL,GWh,NULL
2005,Germany,Exports,"Nuclear heat",NULL,GWh,NULL
2006,Germany,Exports,"Nuclear heat",NULL,GWh,NULL
2007,Germany,Exports,"Nuclear heat",NULL,GWh,NULL
2008,Germany,Exports,"Nuclear heat",NULL,GWh,NULL
2009,Germany,Exports,"Nuclear heat",NULL,GWh,NULL
2010,Germany,Exports,"Nuclear heat",NULL,GWh,NULL
2011,Germany,Exports,"Nuclear heat",NULL,GWh,NULL
2012,Germany,Exports,"Nuclear heat",NULL,GWh,NULL
2013,Germany,Exports,"Nuclear heat",NULL,GWh,NULL
2014,Germany,Exports,"Nuclear heat",NULL,GWh,NULL
2015,Germany,Exports,"Nuclear heat",NULL,GWh,NULL
2016,Germany,Exports,"Nuclear heat",NULL,GWh,NULL
2017,Germany,Exports,"Nuclear heat",NULL,GWh,NULL
2018,Germany,Exports,"Nuclear heat",NULL,GWh,NULL
2019,Germany,Exports,"Nuclear heat",NULL,GWh,NULL
2020,Germany,Exports,"Nuclear heat",NULL,GWh,NULL
2021,Germany,Exports,"Nuclear heat",NULL,GWh,NULL
2022,Germany,Exports,"Nuclear heat",NULL,GWh,NULL
2000,Spain,Exports,"Nuclear heat",NULL,GWh,NULL
2001,Spain,Exports,"Nuclear heat",NULL,GWh,NULL
2002,Spain,Exports,"Nuclear heat",NULL,GWh,NULL
2003,Spain,Exports,"Nuclear heat",NULL,GWh,NULL
2004,Spain,Exports,"Nuclear heat",NULL,GWh,NULL
2005,Spain,Exports,"Nuclear heat",NULL,GWh,NULL
2006,Spain,Exports,"Nuclear heat",NULL,GWh,NULL
2007,Spain,Exports,"Nuclear heat",NULL,GWh,NULL
2008,Spain,Exports,"Nuclear heat",NULL,GWh,NULL
2009,Spain,Exports,"Nuclear heat",NULL,GWh,NULL
2010,Spain,Exports,"Nuclear heat",NULL,GWh,NULL
2011,Spain,Exports,"Nuclear heat",NULL,GWh,NULL
2012,Spain,Exports,"Nuclear heat",NULL,GWh,NULL
2013,Spain,Exports,"Nuclear heat",NULL,GWh,NULL
2014,Spain,Exports,"Nuclear heat",NULL,GWh,NULL
2015,Spain,Exports,"Nuclear heat",NULL,GWh,NULL
2016,Spain,Exports,"Nuclear heat",NULL,GWh,NULL
2017,Spain,Exports,"Nuclear heat",NULL,GWh,NULL
2018,Spain,Exports,"Nuclear heat",NULL,GWh,NULL
2019,Spain,Exports,"Nuclear heat",NULL,GWh,NULL
2020,Spain,Exports,"Nuclear heat",NULL,GWh,NULL
2021,Spain,Exports,"Nuclear heat",NULL,GWh,NULL
2022,Spain,Exports,"Nuclear heat",NULL,GWh,NULL
2000,France,Exports,"Nuclear heat",NULL,GWh,NULL
2001,France,Exports,"Nuclear heat",NULL,GWh,NULL
2002,France,Exports,"Nuclear heat",NULL,GWh,NULL
2003,France,Exports,"Nuclear heat",NULL,GWh,NULL
2004,France,Exports,"Nuclear heat",NULL,GWh,NULL
2005,France,Exports,"Nuclear heat",NULL,GWh,NULL
2006,France,Exports,"Nuclear heat",NULL,GWh,NULL
2007,France,Exports,"Nuclear heat",NULL,GWh,NULL
2008,France,Exports,"Nuclear heat",NULL,GWh,NULL
2009,France,Exports,"Nuclear heat",NULL,GWh,NULL
2010,France,Exports,"Nuclear heat",NULL,GWh,NULL
2011,France,Exports,"Nuclear heat",NULL,GWh,NULL
2012,France,Exports,"Nuclear heat",NULL,GWh,NULL
2013,France,Exports,"Nuclear heat",NULL,GWh,NULL
2014,France,Exports,"Nuclear heat",NULL,GWh,NULL
2015,France,Exports,"Nuclear heat",NULL,GWh,NULL
2016,France,Exports,"Nuclear heat",NULL,GWh,NULL
2017,France,Exports,"Nuclear heat",NULL,GWh,NULL
2018,France,Exports,"Nuclear heat",NULL,GWh,NULL
2019,France,Exports,"Nuclear heat",NULL,GWh,NULL
2020,France,Exports,"Nuclear heat",NULL,GWh,NULL
2021,France,Exports,"Nuclear heat",NULL,GWh,NULL
2022,France,Exports,"Nuclear heat",NULL,GWh,NULL
2000,Italy,Exports,"Nuclear heat",NULL,GWh,NULL
2001,Italy,Exports,"Nuclear heat",NULL,GWh,NULL
2002,Italy,Exports,"Nuclear heat",NULL,GWh,NULL
2003,Italy,Exports,"Nuclear heat",NULL,GWh,NULL
2004,Italy,Exports,"Nuclear heat",NULL,GWh,NULL
2005,Italy,Exports,"Nuclear heat",NULL,GWh,NULL
2006,Italy,Exports,"Nuclear heat",NULL,GWh,NULL
2007,Italy,Exports,"Nuclear heat",NULL,GWh,NULL
2008,Italy,Exports,"Nuclear heat",NULL,GWh,NULL
2009,Italy,Exports,"Nuclear heat",NULL,GWh,NULL
2010,Italy,Exports,"Nuclear heat",NULL,GWh,NULL
2011,Italy,Exports,"Nuclear heat",NULL,GWh,NULL
2012,Italy,Exports,"Nuclear heat",NULL,GWh,NULL
2013,Italy,Exports,"Nuclear heat",NULL,GWh,NULL
2014,Italy,Exports,"Nuclear heat",NULL,GWh,NULL
2015,Italy,Exports,"Nuclear heat",NULL,GWh,NULL
2016,Italy,Exports,"Nuclear heat",NULL,GWh,NULL
2017,Italy,Exports,"Nuclear heat",NULL,GWh,NULL
2018,Italy,Exports,"Nuclear heat",NULL,GWh,NULL
2019,Italy,Exports,"Nuclear heat",NULL,GWh,NULL
2020,Italy,Exports,"Nuclear heat",NULL,GWh,NULL
2021,Italy,Exports,"Nuclear heat",NULL,GWh,NULL
2022,Italy,Exports,"Nuclear heat",NULL,GWh,NULL
2000,Portugal,Exports,"Nuclear heat",NULL,GWh,NULL
2001,Portugal,Exports,"Nuclear heat",NULL,GWh,NULL
2002,Portugal,Exports,"Nuclear heat",NULL,GWh,NULL
2003,Portugal,Exports,"Nuclear heat",NULL,GWh,NULL
2004,Portugal,Exports,"Nuclear heat",NULL,GWh,NULL
2005,Portugal,Exports,"Nuclear heat",NULL,GWh,NULL
2006,Portugal,Exports,"Nuclear heat",NULL,GWh,NULL
2007,Portugal,Exports,"Nuclear heat",NULL,GWh,NULL
2008,Portugal,Exports,"Nuclear heat",NULL,GWh,NULL
2009,Portugal,Exports,"Nuclear heat",NULL,GWh,NULL
2010,Portugal,Exports,"Nuclear heat",NULL,GWh,NULL
2011,Portugal,Exports,"Nuclear heat",NULL,GWh,NULL
2012,Portugal,Exports,"Nuclear heat",NULL,GWh,NULL
2013,Portugal,Exports,"Nuclear heat",NULL,GWh,NULL
2014,Portugal,Exports,"Nuclear heat",NULL,GWh,NULL
2015,Portugal,Exports,"Nuclear heat",NULL,GWh,NULL
2016,Portugal,Exports,"Nuclear heat",NULL,GWh,NULL
2017,Portugal,Exports,"Nuclear heat",NULL,GWh,NULL
2018,Portugal,Exports,"Nuclear heat",NULL,GWh,NULL
2019,Portugal,Exports,"Nuclear heat",NULL,GWh,NULL
2020,Portugal,Exports,"Nuclear heat",NULL,GWh,NULL
2021,Portugal,Exports,"Nuclear heat",NULL,GWh,NULL
2022,Portugal,Exports,"Nuclear heat",NULL,GWh,NULL
2000,Germany,Exports,"Oil and petroleum products (excluding biofuel portion)",NULL,GWh,257165611.000
2001,Germany,Exports,"Oil and petroleum products (excluding biofuel portion)",NULL,GWh,229857250.000
2002,Germany,Exports,"Oil and petroleum products (excluding biofuel portion)",NULL,GWh,234398472.000
2003,Germany,Exports,"Oil and petroleum products (excluding biofuel portion)",NULL,GWh,227711410.000
2004,Germany,Exports,"Oil and petroleum products (excluding biofuel portion)",NULL,GWh,291904669.000
2005,Germany,Exports,"Oil and petroleum products (excluding biofuel portion)",NULL,GWh,316494374.000
2006,Germany,Exports,"Oil and petroleum products (excluding biofuel portion)",NULL,GWh,326213211.000
2007,Germany,Exports,"Oil and petroleum products (excluding biofuel portion)",NULL,GWh,337475997.000
2008,Germany,Exports,"Oil and petroleum products (excluding biofuel portion)",NULL,GWh,299306827.000
2009,Germany,Exports,"Oil and petroleum products (excluding biofuel portion)",NULL,GWh,261356773.000
2010,Germany,Exports,"Oil and petroleum products (excluding biofuel portion)",NULL,GWh,216241453.000
2011,Germany,Exports,"Oil and petroleum products (excluding biofuel portion)",NULL,GWh,213336366.000
2012,Germany,Exports,"Oil and petroleum products (excluding biofuel portion)",NULL,GWh,218810910.000
2013,Germany,Exports,"Oil and petroleum products (excluding biofuel portion)",NULL,GWh,233728048.000
2014,Germany,Exports,"Oil and petroleum products (excluding biofuel portion)",NULL,GWh,247418122.000
2015,Germany,Exports,"Oil and petroleum products (excluding biofuel portion)",NULL,GWh,260132305.000
2016,Germany,Exports,"Oil and petroleum products (excluding biofuel portion)",NULL,GWh,264329703.000
2017,Germany,Exports,"Oil and petroleum products (excluding biofuel portion)",NULL,GWh,270515086.000
2018,Germany,Exports,"Oil and petroleum products (excluding biofuel portion)",NULL,GWh,259902659.000
2019,Germany,Exports,"Oil and petroleum products (excluding biofuel portion)",NULL,GWh,253375093.000
2020,Germany,Exports,"Oil and petroleum products (excluding biofuel portion)",NULL,GWh,256374647.000
2021,Germany,Exports,"Oil and petroleum products (excluding biofuel portion)",NULL,GWh,293933798.000
2022,Germany,Exports,"Oil and petroleum products (excluding biofuel portion)",NULL,GWh,317835815.000
